#complex, groundtruth
(x&y)*(x|y)+(x&~y)*(~x&y),x*y
(x&y)*(x|y)+(x&~y)*(~x&y)+1*x+1*~(x&~y)+1*~(x|y)+1*(x&~y)-2*(x&y),x*y-1*~(x|~y)+2*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&~x)+3*~(x&y)-3*~(x|y)-1*~(x|~y)-6*(x&~y),x*y-2*(x|~y)+3*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x^y)+2*(x^y)-2*~(x|y)-3*~(x|~y)-3*(x&~y),x*y+1*(x&y)-1*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x|y)-11*~(x&y)+5*x+8*(x&~y)-3*(x&y),x*y-13*~(x|~y)-11*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~x-1*~(x&y)-7*~(x|~y)+1*(x&~y)-1*(x&y),x*y-1*y+6*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~(x&y)+4*(x^y)+2*~y-1*~(x|~y)-3*(x&~y),x*y-1*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(x|y)-2*~y-7*~(x|~y)-5*(x&~y)-18*(x&y),x*y-11*~(x^y)+9*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(x|y)-4*~(x|y)-2*~(x|~y)-1*(x&~y)-7*(x&y),x*y-5*~(x^y)+1*~y
(x&y)*(x|y)+(x&~y)*(~x&y)-5*~(x^y)-7*x+5*~(x&y)+2*(x&~y)+12*(x&y),x*y+5*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*(x|y)-11*(x^y)+7*~(x|~y)+12*(x&~y)+1*(x&y),x*y+5*x
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&y)+3*~(x&~y)-2*~(x|~y)-1*(x&~y)-1*(x&y),x*y+4*~(x|y)+2*y
(x&y)*(x|y)+(x&~y)*(~x&y)+4*y-2*~(x|y)-5*~(x|~y)-1*(x&~y)-6*(x&y),x*y-1*(x^y)-2*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~y+11*~(x|y)+5*~(x|~y)+8*(x&~y)+8*(x&y),x*y+5*~(x&~x)+3*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*(x^y)+4*~x-4*~(x|y)+2*~(x|~y)+3*(x&y),x*y+3*x-9*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~(x^y)-5*(x^y)-1*~(x&y)-3*~(x|y)+6*(x&~y),x*y-6*~(x|~y)+4*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~(x&y)-1*x+10*~(x|y)+10*~(x|~y)+11*(x&~y),x*y-4*(x&y)+3*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*~(x&y)+2*(x^y)-3*(x|~y)-13*~(x|~y)+3*(x&y),x*y+10*(x&~y)+8*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*x-6*~x+3*~(x|y)+6*~(x|~y)-2*(x&~y),x*y-3*~y-1*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|y)+1*x+2*(x^y)-3*~(x|~y)-4*(x&~y),x*y+2*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*~(x&y)+2*(x^y)-2*~(x&~y)-7*(x&~y)+2*(x&y),x*y+5*~(x|~y)+3*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&y)-7*~(x&~x)+1*~y+7*~(x|y)+8*~(x|~y),x*y-7*(x&~y)-7*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*y+1*~y+2*~(x|y)+2*(x&~y)-2*(x&y),x*y+5*~(x|~y)+3*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~x-3*~(x|y)-4*~(x|~y)-2*(x&~y)-1*(x&y),x*y-1*y-2*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&~x)-2*~y+1*(x^y)+5*~(x|~y)+6*(x&y),x*y-8*~(x|y)-7*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&~y)+1*(x|~y)+3*~(x&y)+3*~(x|~y)+5*(x&y),x*y-2*~(x|y)+4*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&y)-2*x+1*(x|~y)-3*~(x|y)-1*(x&~y),x*y-1*(x&y)+2*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~(x^y)+5*(x|y)+3*~(x|y)-5*(x&~y)-4*(x&y),x*y-2*y+7*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*(x|~y)+1*x+1*~(x|y)-2*~(x|~y)+1*(x&~y),x*y-1*~(x&~y)-1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*(x|y)+4*(x|~y)-4*~(x|y)-14*~(x|~y)-18*(x&y),x*y-11*y+7*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*x+1*(x^y)+1*~(x&y)-1*~(x|y)-1*(x&y),x*y+3*(x&~y)+2*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*(x|y)-3*~x+10*~(x|y)-1*~(x|~y)-4*(x&y),x*y+4*(x&~y)+7*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*y-6*~(x&y)+14*~(x|~y)+6*(x&~y)+8*(x&y),x*y-12*~(x|y)+6*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~y+2*(x|~y)-5*~(x|y)-1*~(x|~y)-6*(x&~y),x*y-1*(x|y)+3*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&~x)+1*~y-1*(x^y)-1*~(x|y)+1*~(x|~y),x*y+1*(x&y)+1*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~(x&y)-7*~x+15*~(x|y)+15*~(x|~y)+8*(x&~y),x*y+1*~(x&~x)-1*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*y+5*~(x&~x)-7*~(x|y)-12*~(x|~y)-14*(x&y),x*y+5*(x&~y)-2*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~y-6*~(x&~y)+4*~(x|y)-3*(x&~y)+5*(x&y),x*y-1*x-6*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~x)+2*(x|y)+3*~(x|y)+1*~(x|~y)+1*(x&~y),x*y+1*(x&y)+2*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x|y)-1*(x^y)+1*~y-1*~(x|y)+3*~(x|~y),x*y-2*(x&~y)-2*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~y-3*~(x^y)+5*~(x|y)-1*(x&~y)+3*(x&y),x*y-3*(x^y)+3*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~x-3*~(x&y)+1*~(x|y)+1*~(x|~y)-2*(x&~y),x*y-5*x+5*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*y+4*~x-2*~(x&~x)+2*(x&~y)+8*(x&y),x*y+2*~(x|y)-4*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*(x|y)+2*~(x^y)-1*~(x|y)-3*(x&~y)-6*(x&y),x*y+1*~y+4*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x^y)-5*~(x&~x)+2*x+4*~(x|~y)+3*(x&y),x*y-2*(x&~y)-5*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*x-6*~y+17*~(x|y)-1*(x&~y)+4*(x&y),x*y-11*~(x|~y)+11*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(x^y)+11*~(x&~y)+5*~(x&y)-16*~(x|y)-11*(x&y),x*y+23*~(x|~y)+12*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~(x&~x)+2*(x^y)-4*~(x|y)-6*~(x|~y)-2*(x&y),x*y+2*x+4*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~y-2*(x|~y)+11*~(x|y)+8*(x&~y)+5*(x&y),x*y+3*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~x)-5*(x^y)-11*(x|~y)+6*~(x|~y)+17*(x&~y),x*y-12*(x&y)-12*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x^y)+1*~y+5*~(x|y)+7*~(x|~y)+6*(x&~y),x*y+6*~(x&~x)-6*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x^y)-1*~(x&y)+1*~(x|y)+2*~(x|~y)+2*(x&~y),x*y+2*(x|y)-2*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*(x|~y)-11*~y-2*~x+16*~(x|y)+2*~(x|~y),x*y-14*(x&~y)-3*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x|~y)+3*~y-2*~(x&y)+1*(x&~y)+2*(x&y),x*y-2*~(x|~y)-1*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*y-2*~(x&y)-2*~(x|~y)+2*(x&~y)-2*(x&y),x*y-2*~x
(x&y)*(x|y)+(x&~y)*(~x&y)+4*y+3*(x|y)-11*~(x|y)-3*(x&~y)-18*(x&y),x*y-11*~(x^y)+7*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x^y)+5*~(x&~y)-5*~(x|y)+1*(x&~y)-5*(x&y),x*y+4*~(x|~y)+1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*(x|y)+7*~y-5*~(x|y)+9*~(x|~y)+2*(x&~y),x*y-7*(x&y)+2*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~y+1*y+3*~(x|y)+3*(x&~y)+1*(x&y),x*y-1*~(x|~y)+2*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~y-6*~(x&~y)+12*~(x|y)+6*~(x|~y)+9*(x&y),x*y-6*(x&~y)+3*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*~(x^y)+1*(x|~y)-2*~(x|~y)-3*(x&~y)-8*(x&y),x*y+6*~(x|y)-2*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*(x^y)-2*~(x&~y)-1*x-3*~(x|~y)-4*(x&~y),x*y-2*~(x|y)-3*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~x-1*~(x&y)+2*~(x&~y)+2*~(x|y)-2*(x&y),x*y-2*~(x|~y)-1*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~x+1*~(x^y)+4*~(x|y)+5*~(x|~y)+5*(x&y),x*y-6*(x&~y)+6*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*~x-5*y-6*~(x|~y)-3*(x&~y)+2*(x&y),x*y-3*(x|~y)+14*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*y-1*x+11*~(x|y)+7*~(x|~y)+12*(x&~y),x*y+11*~(x&~x)-8*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~(x&~x)+1*~(x&y)-1*~(x&~y)-7*~(x|y)-6*(x&y),x*y+7*~(x|~y)+8*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*(x^y)+2*~x-3*~(x|y)+3*(x&~y)-1*(x&y),x*y-1*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x^y)-2*~y+2*y+2*~(x|y)+4*(x&~y),x*y+2*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|y)+1*~(x&y)-3*~(x|y)-2*~(x|~y)-4*(x&~y),x*y-2*(x|~y)+3*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~y-1*~(x^y)+2*~(x|y)+2*~(x|~y)+3*(x&~y),x*y+2*(x|y)-3*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~y+5*(x|~y)-1*~(x^y)-1*~(x|y)-4*(x&y),x*y+2*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x^y)+1*(x^y)-1*~(x&~y)-3*(x&~y)-2*(x&y),x*y-2*x
(x&y)*(x|y)+(x&~y)*(~x&y)+11*~x+5*(x|y)-17*~(x|~y)-6*(x&~y)-5*(x&y),x*y-1*~(x&y)+12*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*(x|~y)+2*~(x&~y)+4*~(x|~y)-15*(x&~y)-17*(x&y),x*y+6*~x-11*x
(x&y)*(x|y)+(x&~y)*(~x&y)+7*y-7*~(x^y)-7*~(x|~y)+5*(x&~y)+5*(x&y),x*y-7*~(x|y)+5*x
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~y)+14*~(x|y)+1*~(x|~y)+2*(x&~y)+14*(x&y),x*y+11*~(x^y)+2*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*y+2*(x|~y)+3*~(x|~y)+3*(x&~y)+1*(x&y),x*y+2*~(x|y)+5*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*x-11*~(x^y)+11*~(x|y)+7*~(x|~y)+14*(x&y),x*y+7*y+4*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*x-1*~(x&y)+2*~(x|~y)-2*(x&~y)-1*(x&y),x*y+2*y-1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~x-2*~(x&~x)+5*~(x|y)-2*(x&~y)+2*(x&y),x*y-5*~(x|~y)-4*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~(x^y)+1*(x^y)-4*~(x|y)-7*(x&~y)-5*(x&y),x*y+1*~(x&y)-7*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~x+4*(x^y)-6*~(x|~y)-4*(x&~y)-3*(x&y),x*y-3*~(x&~y)+2*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~x-1*~(x|y)+6*~(x|~y)-5*(x&~y)-12*(x&y),x*y-7*~(x^y)-5*x
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~y-7*~(x&y)+1*~(x&~x)+8*~(x|y)+6*~(x|~y),x*y-8*(x&~y)+1*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~y+3*~(x&~y)-4*~(x|~y)-8*(x&~y)-4*(x&y),x*y-1*(x|y)+10*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~y)-2*(x^y)+12*~(x|y)+13*(x&~y)+1*(x&y),x*y-14*~(x|~y)+11*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x|y)-11*(x|~y)+12*~(x|y)+3*~(x|~y)+14*(x&y),x*y+1*~(x&~x)-14*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|~y)-7*~x+1*~(x&~x)+5*~(x|y)-2*(x&~y),x*y-6*~(x|~y)+2*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~y+5*~(x|y)-4*~(x|~y)-5*(x&~y)+3*(x&y),x*y-7*(x^y)+3*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&y)-1*x-1*(x^y)-1*~(x|~y)-2*(x&y),x*y-3*~(x&~x)+2*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(x^y)+4*~(x&y)-6*~(x|y)-8*~(x|~y)-6*(x&~y),x*y-2*~x
(x&y)*(x|y)+(x&~y)*(~x&y)-1*x-1*~x+4*~(x|y)+4*~(x|~y)+4*(x&y),x*y+3*~(x&~y)-1*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~y+5*(x|y)+6*~(x|~y)-6*(x&~y)-5*(x&y),x*y-10*~(x|y)+11*~x
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~x)-1*~(x&~y)+7*~(x&y)-6*(x|y)+8*(x&y),x*y-1*~(x|~y)+5*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x|~y)-2*~x+3*~(x|y)+3*~(x|~y)+2*(x&~y),x*y-2*(x&y)+1*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~(x^y)+3*~(x&y)+2*~x+6*~(x|y)-3*(x&~y),x*y+5*~(x|~y)-11*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~x)+4*(x^y)-5*~x+2*~(x|~y)-3*(x&~y),x*y-1*(x&y)-6*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&y)+7*y-2*~(x|y)-7*~(x|~y)-7*(x&y),x*y+2*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~y-2*~(x&y)-5*(x^y)-1*~(x|y)+7*~(x|~y),x*y-4*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x^y)+2*(x^y)+4*~(x&~y)-3*~(x|y)-3*(x&y),x*y+2*(x&~y)+6*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~x+5*y+2*(x|y)+7*~(x|y)-7*(x&y),x*y+2*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~(x&~x)-1*~(x&y)-7*~(x&~y)+1*~(x|y)+1*~(x|~y),x*y+6*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&y)+1*(x^y)-2*~(x|~y)-5*(x&~y)-3*(x&y),x*y-3*x+1*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&~y)+2*y+1*~y-2*~(x|y)-3*(x&y),x*y+3*~(x|~y)+1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*(x^y)+5*~y-16*~(x|y)+18*~(x|~y)-9*(x&~y),x*y+11*y-11*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~(x^y)+4*(x|y)-5*~(x&y)+16*~(x|y)+1*(x&~y),x*y-7*(x&y)-1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~(x&y)-11*x-9*~(x|y)+2*(x&~y)+11*(x&y),x*y+7*~(x|~y)-2*~y
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&~y)-5*~(x&y)-1*x+5*~(x|y)+3*~(x|~y)+1*(x&y),x*y-6*(x&~y)+2*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*(x|~y)-3*~(x&~y)+4*(x^y)-2*~(x|y)-9*(x&~y)-2*(x&y),x*y+1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*x+7*(x|~y)-1*(x|y)-7*~(x|y)+1*(x&~y)+5*(x&y),x*y+3*~(x|~y)-4*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*~(x&~x)+7*~(x&y)-1*~y-11*~(x|y)-11*(x&~y)-5*(x&y),x*y+12*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*~(x&y)+3*~x+3*~(x&~y)-6*~(x|y)-1*~(x|~y)-3*(x&y),x*y-5*~y
(x&y)*(x|y)+(x&~y)*(~x&y)-6*(x^y)+1*~y+1*y+2*~(x^y)+5*(x&~y)-3*(x&y),x*y-5*~(x|~y)+3*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~(x^y)+1*(x|y)+4*~(x&~x)-7*~(x|y)-5*~(x|~y)-5*(x&~y),x*y+8*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~(x&y)-11*y-3*~(x&~x)+5*x-4*~(x|y)-9*(x&~y),x*y-9*(x&y)-7*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~x+7*~(x&y)+2*(x|y)+3*(x^y)+4*~(x|y)-2*(x&y),x*y+12*(x&~y)+1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~y+3*x+4*~(x|y)+3*~(x|~y)-2*(x&~y)-3*(x&y),x*y+3*~x
(x&y)*(x|y)+(x&~y)*(~x&y)-5*~(x&~y)+7*~x-3*~(x|y)-4*~(x|~y)-1*(x&~y)+2*(x&y),x*y-1*(x|~y)-2*y
(x&y)*(x|y)+(x&~y)*(~x&y)+5*(~(x^y)&~(x^z))+1*(x|z)-1*(z^~(~x|(y&z)))-5*(x&(y&z)),x*y+1*(x&(~y&z))+5*~(x|(y|z))
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(z^(~x&(y|z)))-2*~(x&~x)-5*~(x|(~y|z))-7*(x&(y&z)),x*y+7*(x&(~y&z))-2*(x|(~y|z))
(x&y)*(x|y)+(x&~y)*(~x&y)-5*~(x|~y)-3*(y^(x&z))+11*~(x|(~y|z))+3*~(~x|(~y|z))+6*(x&(~y&z)),x*y-8*(~x&(y&z))+3*((x^y)&~(x^z))
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(y^~(~x|(y^z)))+7*(~y&(x^z))-2*(y|z)-9*~(~x|(y|z))+2*(x&(y&z)),x*y+5*(~x&(~y&z))-2*(x&(~y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(~x|(~y&z))-1*~(~x|(y^z))+1*(y^~(x&z))-1*~(x|(y|z))+1*(x&(~y&z)),x*y-1*((x&z)^~(x^(~y&z)))+1*(x&(y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)-11*(z^(~x|(y|z)))+7*((x&z)^~(y&~z))+4*~(x|(y|z))+11*~(~x|(~y|z))-7*(~x&(~y&z)),x*y+7*((x^y)&(x^z))-11*~(x|(~y|z))
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(z^(x|(~y&z)))-13*~(x|(y|z))-11*(~x&(~y&z))-11*(x&(~y&z))-11*(x&(y&z)),x*y-11*(y^(~x|(y^z)))-2*(z^(x|~y))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(~(x|~y)|~(x^(y^z)))+1*~(x|(y|z))-1*~(~x|(y|z))-2*(~x&(~y&z))-2*(~x&(y&z)),x*y-2*~(x|~z)-1*(y^(x&(~y|z)))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(y^~(x|(~y&z)))+1*(z&~(x&y))+1*~(~x|(~y|z))-1*(~x&(y&z))-2*(x&(~y&z)),x*y-1*(z^(~x&(~y|z)))+1*(~x&(~y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~(~x&(y|z))+2*~(~x|(~y&z))-11*((x|~y)&(y^z))+11*(~x&(~y&z))+13*(x&(~y&z)),x*y-2*~(x|(y|z))-11*~(~x|(~y|z))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(~z&(x^y))-6*((y&z)|(~x&(y|z)))-6*~(~x|(y|z))+6*(~x&(~y&z))+6*(~x&(y&z)),x*y+1*(x&(y&z))-7*((x|y)&(x^(y^z)))
(x&y)*(x|y)+(x&~y)*(~x&y)-5*((y&z)|(x&(y|z)))+2*(x|y)-2*~(x|(~y|z))+3*~(~x|(~y|z))+3*(x&(y&z)),x*y+5*~(~x|(y|z))-3*(y^~(~x&(~y|z)))
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(y^~(x|(y^z)))-3*(y^(~x|(~y&z)))+1*((x|~y)&~(x^(y^z)))-2*~(x|(~y|z))+2*(x&(~y&z)),x*y-3*(~x&(~y&z))-1*(x&(y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)+3*((x&y)|~(y|~z))+2*(y&(x|~z))-2*(z^(~x&(y|z)))-3*(~x&(~y&z))-3*(x&(y&z)),x*y+5*~(~x|(~y|z))+1*(x&(~y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(x&(y^z))-11*~(~x|(y&z))+1*(y^~(~x&(~y&z)))+10*~(~x|(y|z))+8*(x&(~y&z)),x*y-9*~(~x|(~y|z))+1*~(x|(y|z))
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~x-1*(y^~(x&(~y|z)))+11*~(x|(~y|z))+11*(~x&(~y&z))+11*(~x&(y&z)),x*y-1*(z&~(x^y))-12*~(x|(y|z))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(z^(x&y))+1*(z|~(x|~y))-2*~(x|(y|z))-1*~(x|(~y|z))-1*~(~x|(~y|z)),x*y-2*(~z&~(x^y))+1*(x&(y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(~(x|~y)|~(y^z))-3*(z^(~x|(~y&z)))+3*~(x|(~y|z))-7*(~x&(y&z))+3*(x&(y&z)),x*y+7*(z^~(x&y))-3*~(x|(y|z))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x&~y)+1*((x&z)^(x^(~y&z)))-7*~(x|(~y|z))-8*~(~x|(~y|z))-1*(~x&(~y&z)),x*y-7*(y&~z)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*((x&z)^(x^(~y&z)))+1*~(x|(y|z))+1*~(~x|(~y|z))+1*(~x&(~y&z))+2*(x&(y&z)),x*y+1*~(x^y)+1*(x|(~y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(y&~(x&z))+1*(x&(y^z))+4*~(x|(~y|z))-3*~(~x|(~y|z))-2*(~x&(y&z))+6*(x&(y&z)),x*y+1*(x&(~y&z))+6*(y&~(x^z))
(x&y)*(x|y)+(x&~y)*(~x&y)+2*((x&y)^(x^(y&z)))+1*(y^~(~x&(~y&z)))+3*(x&~y)-1*~(x|(y|z))-6*~(~x|(y|z))-2*(x&(y&z)),x*y+2*(~x&(y&z))+6*(x&(~y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)+2*((y&~z)^(~x|(y^z)))-2*(x^z)-1*~(x|(y|z))+1*~(x|(~y|z))+2*~(~x|(y|z))+2*~(~x|(~y|z)),x*y+1*(x&(~y&z))+1*(z^(~x|(y&z)))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x|~z)+7*(~(x&~y)&~(x^(y^z)))-7*~(x|(y|z))-7*~(~x|(~y|z))-6*(~x&(y&z))-3*(x&(~y&z)),x*y+2*(~x&(~y&z))-3*~(y|~z)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(~z&~(x^y))+3*((x|y)&~(x^(y^z)))-1*(y^~(x|(y&z)))+3*~(x|(y|z))-2*(~x&(y&z))+1*(x&(y&z)),x*y-1*(~x&(~y&z))+3*(x&(~y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(y^~(~x|(~y&z)))-1*(y^~(~x&(y^z)))-6*(y^(x&(y|z)))+8*~(x|(~y|z))+2*~(~x|(y|z))+7*(x&(~y&z)),x*y-1*~(x|(y|z))-7*(~x&(y&z))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(~(x&~y)&~(x^(y^z)))+2*(y^(~x|(y&z)))-2*~(x|(~y|z))-3*~(~x|(~y|z))-4*(~x&(~y&z))+1*(~x&(y&z)),x*y+3*~(x|(y|z))-2*((x&y)^~(x^(y&z)))
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x|~z)+4*(z&~(x&y))-5*~(x|(~y|z))-3*(~x&(~y&z))-3*(~x&(y&z))-9*(x&(~y&z)),x*y+5*~(~x|(y|z))-5*(y^(x|(y&z)))
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&y)-1*(y^(~x|(y^z)))-1*(z^(x|~y))+2*~(x|(y|z))+1*(x&(~y&z))+1*(x&(y&z)),x*y-1*~(~x|(~y|z))+1*(z^(~x|(y&z)))
